[-0.108628 -0.249621  0.408165  0.438854  1.556069 -0.426963]
[-0.118628 -0.249621  0.408165  0.438854  1.556069 -0.426963]
[-0.128628 -0.249621  0.408165  0.438854  1.556069 -0.426963]
[-0.138628 -0.249621  0.408165  0.438854  1.556069 -0.426963]
[-0.148628 -0.249621  0.408165  0.438854  1.556069 -0.426963]
[-0.158628 -0.249621  0.408165  0.438854  1.556069 -0.426963]
[-0.168628 -0.249621  0.408165  0.438854  1.556069 -0.426963]
[-0.118628 -0.239621  0.408165  0.438854  1.556069 -0.426963]
[-0.128628 -0.239621  0.408165  0.438854  1.556069 -0.426963]
[-0.138628 -0.239621  0.408165  0.438854  1.556069 -0.426963]
[-0.148628 -0.239621  0.408165  0.438854  1.556069 -0.426963]
[-0.158628 -0.239621  0.408165  0.438854  1.556069 -0.426963]
[-0.168628 -0.239621  0.408165  0.438854  1.556069 -0.426963]
[-0.118628 -0.229621  0.408165  0.438854  1.556069 -0.426963]
[-0.128628 -0.229621  0.408165  0.438854  1.556069 -0.426963]
[-0.138628 -0.229621  0.408165  0.438854  1.556069 -0.426963]
[-0.148628 -0.229621  0.408165  0.438854  1.556069 -0.426963]
[-0.158628 -0.229621  0.408165  0.438854  1.556069 -0.426963]
[-0.168628 -0.229621  0.408165  0.438854  1.556069 -0.426963]
[-0.118628 -0.219621  0.408165  0.438854  1.556069 -0.426963]
[-0.128628 -0.219621  0.408165  0.438854  1.556069 -0.426963]
[-0.138628 -0.219621  0.408165  0.438854  1.556069 -0.426963]
[-0.148628 -0.219621  0.408165  0.438854  1.556069 -0.426963]
[-0.158628 -0.219621  0.408165  0.438854  1.556069 -0.426963]
[-0.168628 -0.219621  0.408165  0.438854  1.556069 -0.426963]
[-0.118628 -0.209621  0.408165  0.438854  1.556069 -0.426963]
[-0.128628 -0.209621  0.408165  0.438854  1.556069 -0.426963]
[-0.138628 -0.209621  0.408165  0.438854  1.556069 -0.426963]
[-0.148628 -0.209621  0.408165  0.438854  1.556069 -0.426963]
[-0.158628 -0.209621  0.408165  0.438854  1.556069 -0.426963]
[-0.168628 -0.209621  0.408165  0.438854  1.556069 -0.426963]
[-0.118628 -0.199621  0.408165  0.438854  1.556069 -0.426963]
[-0.128628 -0.199621  0.408165  0.438854  1.556069 -0.426963]
[-0.138628 -0.199621  0.408165  0.438854  1.556069 -0.426963]
[-0.148628 -0.199621  0.408165  0.438854  1.556069 -0.426963]
[-0.158628 -0.199621  0.408165  0.438854  1.556069 -0.426963]
[-0.168628 -0.199621  0.408165  0.438854  1.556069 -0.426963]
