-0.077074,-0.303111,0.431538
-0.076416,-0.294237,0.428593
-0.075757,-0.285364,0.425647
-0.075099,-0.276490,0.422702
-0.072074,-0.303111,0.431538
-0.071416,-0.294237,0.428593
-0.070757,-0.285364,0.425647
-0.070099,-0.276490,0.422702
-0.067074,-0.303111,0.431538
-0.066416,-0.294237,0.428593
-0.065757,-0.285364,0.425647
-0.065099,-0.276490,0.422702
-0.062074,-0.303111,0.431538
-0.061416,-0.294237,0.428593
-0.060757,-0.285364,0.425647
-0.060099,-0.276490,0.422702
-0.057074,-0.303111,0.431538
-0.056416,-0.294237,0.428593
-0.055757,-0.285364,0.425647
-0.055099,-0.276490,0.422702
-0.052074,-0.303111,0.431538
