153.418365657-17.623527273i	150.741816162-12.333657576i	147.063836364-10.114000000i	144.524763636-6.064141414i	143.055173737-4.804566667i	142.403380808-3.798107071i	141.974139394-3.145791919i	141.522827273-2.739992929i	141.111795960-2.214760606i	140.880792929-1.831106061i	140.380841414-1.185349495i	140.266691919-1.141503030i	140.243971717-0.927304040i	139.917121212-0.932939394i	139.624249495-0.609019192i
142.406161616-17.115349495i	140.045671717-11.889459596i	136.350271717-9.653309091i	134.058694949-5.756116162i	132.698114141-4.518675758i	132.122940404-3.703539394i	131.762432323-2.991049495i	131.330484848-2.559851515i	131.034812121-2.079022222i	130.748809091-1.724870707i	130.097475758-1.340775758i	130.252716162-1.075713131i	130.163498990-0.896301010i	129.963747475-0.790888889i	129.549775758-0.600916162i
135.154056566-17.322924242i	132.920035354-11.870705051i	129.302985859-9.533980808i	127.215562626-5.511052525i	125.857155556-4.368389899i	125.249290909-3.537070707i	125.011096970-2.857369697i	124.612137374-2.390227273i	124.313255556-1.936877778i	124.029143434-1.606658586i	123.376344444-1.427002020i	123.554776768-0.948896970i	123.496478788-0.835110101i	123.210932323-0.792761616i	122.880506061-0.595375758i
128.875846465-17.178683838i	126.769740404-11.729171717i	123.220308081-9.424081818i	121.107980808-5.416291919i	119.925587879-4.240693939i	119.349055556-3.376229293i	119.050211111-2.759931313i	118.704279798-2.395396970i	118.428357576-1.854748485i	118.127693939-1.587371717i	118.088698990-1.342174747i	117.664937374-0.911154545i	117.671720202-0.768977778i	117.367491919-0.838482828i	117.167590909-0.554191919i
124.219237374-17.297091919i	122.222148485-11.698871717i	118.700254545-9.363592929i	116.813304040-5.330081818i	115.532545455-4.113016162i	115.022468687-3.349463636i	114.763110101-2.728266667i	114.326515152-2.286913131i	114.071842424-1.865304040i	113.790719192-1.474178788i	113.305745455-1.395502020i	113.421278788-0.917239394i	113.376275758-0.818272727i	113.118095960-0.711474747i	112.798147475-0.572277778i
120.493893939-17.063453535i	118.559111111-11.646327273i	114.975055556-9.318005051i	113.093903030-5.206756566i	111.898047475-4.140015152i	111.386170707-3.377829293i	111.143523232-2.695244444i	110.703236364-2.285224242i	110.489326263-1.849024242i	110.217885859-1.458146465i	109.953727273-0.853526263i	109.836554545-0.907118182i	109.792745455-0.754117172i	109.577162626-0.702432323i	109.251334343-0.639021212i
117.369151515-17.386784848i	115.441417172-11.617849495i	111.936772727-9.344126263i	110.027681818-5.218129293i	108.923463636-4.065095960i	108.441026263-3.256139394i	108.164725253-2.619077778i	107.736104040-2.201654545i	107.520898990-1.779365657i	107.314305051-1.465972727i	106.624208081-1.238747475i	106.802783838-0.804955556i	106.817371717-0.757675758i	106.548289899-0.746816162i	106.228587879-0.440430303i
114.760830303-17.408400000i	112.786526263-11.621721212i	109.370726263-9.312627273i	107.501997980-5.182562626i	106.408440404-4.070954545i	105.788040404-3.166619192i	105.676560606-2.624567677i	105.222794949-2.262456566i	104.991420202-1.810459596i	104.711229293-1.419133333i	104.324767677-0.888013131i	104.356208081-0.848479798i	104.283992929-0.722792929i	104.084760606-0.750164646i	103.825665657-0.569104040i
112.678171717-17.578258586i	110.736073737-11.657931313i	107.310671717-9.324827273i	105.457602020-5.180963636i	104.300313131-4.055422222i	103.751640404-3.211017172i	103.637141414-2.572890909i	103.214023232-2.238006061i	102.922645455-1.768129293i	102.710446465-1.458070707i	102.766669697-1.263379798i	102.309846465-0.848051515i	102.302115152-0.753806061i	102.085485859-0.718379798i	101.762723232-0.502427273i
110.497825253-17.599052525i	108.655068687-11.645675758i	105.245533333-9.297259596i	103.537863636-5.157083838i	102.284796970-3.986823232i	101.761329293-3.193774747i	101.562712121-2.615935354i	101.167678788-2.173104040i	100.971002020-1.764024242i	100.700878788-1.427392929i	100.485469697-0.861616162i	100.273009091-0.858438384i	100.243984848-0.677936364i	100.045796970-0.681435354i	99.744098990-0.551589899i
108.891261616-17.560072727i	107.044840404-11.732672727i	103.546402020-9.235972727i	101.856695960-5.170474747i	100.615118182-3.992381818i	100.166747475-3.165932323i	99.918038384-2.538620202i	99.475551515-2.145639394i	99.304341414-1.760072727i	99.072500000-1.454672727i	99.033159596-0.927553535i	98.607702020-0.883632323i	98.628650505-0.728709091i	98.454240404-0.671942424i	98.116629293-0.532702020i
107.296311111-17.422948485i	105.578656566-11.632792929i	101.985342424-9.265777778i	100.300693939-5.160816162i	99.112397980-4.009566667i	98.649059596-3.205041414i	98.429451515-2.500550505i	98.011710101-2.156413131i	97.829876768-1.747062626i	97.532991919-1.374747475i	96.941166667-1.278654545i	97.143485859-0.836510101i	97.162232323-0.694183838i	96.876951515-0.727515152i	96.556547475-0.496797980i
106.020656566-17.538311111i	104.096291919-11.691317172i	100.668743434-9.321903030i	98.941963636-5.118327273i	97.835138384-4.008315152i	97.366050505-3.223847475i	97.091936364-2.547796970i	96.705630303-2.155436364i	96.541336364-1.709467677i	96.244649495-1.410600000i	95.768952525-0.998981818i	95.865914141-0.812771717i	95.773847475-0.681084848i	95.571105051-0.666883838i	95.361110101-0.460842424i
104.679634343-17.649679798i	102.812754545-11.666355556i	99.358931313-9.314280808i	97.517766667-5.177207071i	96.551696970-3.992270707i	96.001291919-3.223339394i	95.743671717-2.548994949i	95.347067677-2.179120202i	95.143239394-1.781106061i	94.907033333-1.376207071i	94.614835354-0.890174747i	94.568933333-0.799001010i	94.515833333-0.730032323i	94.252012121-0.744026263i	94.065622222-0.397835354i
103.362076768-17.667347475i	101.637904040-11.634154545i	98.205655556-9.330407071i	96.442435354-5.158633333i	95.331606061-3.981758586i	94.852475758-3.165852525i	94.612319192-2.582288889i	94.170134343-2.126806061i	94.012394949-1.679060606i	93.727881818-1.395615152i	93.664016162-1.024204040i	93.437925253-0.838362626i	93.353440404-0.696198990i	93.172401010-0.642672727i	92.926933333-0.478440404i
152.092926263-18.552001010i	149.581387879-12.961667677i	145.701735354-10.440187879i	143.266804040-6.140503030i	141.801530303-4.889515152i	141.118898990-3.909827273i	140.805797980-3.190472727i	140.188370707-2.700807071i	139.926056566-2.226621212i	139.675922222-1.805949495i	138.935100000-1.299588889i	139.080571717-1.174834343i	139.053873737-0.942166667i	138.705806061-0.876192929i	138.383500000-0.688291919i
140.845689899-18.405986869i	138.545277778-12.519478788i	134.959498990-10.045040404i	132.862156566-5.758334343i	131.382548485-4.555110101i	130.847786869-3.677192929i	130.429332323-3.011466667i	130.001934343-2.440978788i	129.738322222-1.976640404i	129.480941414-1.666108081i	128.949272727-1.029032323i	129.031059596-1.032428283i	128.935985859-0.869180808i	128.657348485-0.807094949i	128.255307071-0.495764646i
133.497705051-18.232158586i	131.495591919-12.280495960i	127.878750505-9.790696970i	125.767714141-5.566450505i	124.567529293-4.336360606i	123.935468687-3.455917172i	123.681102020-2.841048485i	123.169009091-2.412530303i	122.936945455-1.886215152i	122.694229293-1.545492929i	122.521333333-0.989476768i	122.255052525-0.969794949i	122.173561616-0.775487879i	121.964024242-0.828413131i	121.673020202-0.575028283i
127.837051515-18.032163636i	125.852733333-12.121416162i	122.224389899-9.691571717i	120.345104040-5.404833333i	119.075730303-4.225361616i	118.537444444-3.380936364i	118.214447475-2.779509091i	117.787268687-2.382690909i	117.549423232-1.851623232i	117.251139394-1.568398990i	116.729571717-1.257158586i	116.861506061-0.909351515i	116.868062626-0.755635354i	116.643921212-0.741054545i	116.329298990-0.526871717i
123.161160606-18.067514141i	121.165387879-11.985782828i	117.692710101-9.642002020i	115.759313131-5.453267677i	114.581845455-4.167767677i	114.080896970-3.292647475i	113.757540404-2.686396970i	113.338257576-2.224927273i	113.105100000-1.833815152i	112.805718182-1.500991919i	112.329833333-1.372782828i	112.386860606-0.885439394i	112.385279798-0.725015152i	112.228488889-0.746941414i	111.810413131-0.469879798i
119.344995960-17.981648485i	117.494018182-11.900104040i	113.969123232-9.547133333i	112.147802020-5.357942424i	110.919044444-4.113379798i	110.498105051-3.323418182i	110.184655556-2.633816162i	109.825141414-2.253094949i	109.520137374-1.752142424i	109.319219192-1.516603030i	109.276759596-1.008658586i	108.941303030-0.876392929i	108.885617172-0.724849495i	108.622642424-0.745470707i	108.356151515-0.477362626i
116.509311111-17.945276768i	114.626488889-11.925939394i	111.085079798-9.543241414i	109.335001010-5.231941414i	108.105984848-4.075883838i	107.642904040-3.264612121i	107.374900000-2.597713131i	106.955929293-2.185645455i	106.703211111-1.768638384i	106.468025253-1.450132323i	106.526086869-0.987038384i	106.108841414-0.919652525i	106.016673737-0.731242424i	105.857943434-0.721159596i	105.546993939-0.508019192i
113.932584848-17.930737374i	112.087173737-11.914753535i	108.527138384-9.458562626i	106.794379798-5.265927273i	105.585624242-4.054382828i	105.150245455-3.298996970i	104.904535354-2.623775758i	104.485112121-2.190732323i	104.271140404-1.789703030i	104.012552525-1.420942424i	103.652870707-0.818892929i	103.637773737-0.907667677i	103.605656566-0.760536364i	103.379759596-0.742798990i	103.091605051-0.461183838i
111.632204040-17.987842424i	109.743889899-11.859765657i	106.334403030-9.419318182i	104.608518182-5.222135354i	103.401147475-4.021096970i	102.867990909-3.252894949i	102.694536364-2.595751515i	102.267108081-2.144478788i	102.107536364-1.722340404i	101.837917172-1.446150505i	101.735598990-1.399040404i	101.443100000-0.884013131i	101.391953535-0.732120202i	101.123895960-0.640115152i	100.936454545-0.476079798i
109.679807071-17.849653535i	107.818650505-11.817318182i	104.329178788-9.403597980i	102.605511111-5.160805051i	101.402151515-4.020164646i	101.005467677-3.205562626i	100.729480808-2.540336364i	100.361371717-2.166159596i	100.131070707-1.791550505i	99.941897980-1.398590909i	99.493957576-0.774445455i	99.537192929-0.904356566i	99.467330303-0.755878788i	99.264610101-0.720896970i	99.008695960-0.434810101i
107.959737374-17.843455556i	106.173265657-11.799090909i	102.740713131-9.367591919i	101.024193939-5.184850505i	99.816721212-4.098501010i	99.375166667-3.252085859i	99.173067677-2.563052525i	98.698928283-2.183047475i	98.534679798-1.728088889i	98.317938384-1.434760606i	97.792264646-1.486710101i	97.897888889-0.822149495i	97.914702020-0.674896970i	97.678444444-0.697036364i	97.387513131-0.526190909i
106.455521212-17.736028283i	104.640197980-11.725708081i	101.166673737-9.299060606i	99.447300000-5.178860606i	98.318829293-4.019098990i	97.767564646-3.115437374i	97.652920202-2.538271717i	97.197885859-2.205151515i	96.969263636-1.733180808i	96.706218182-1.454539394i	96.494013131-1.533582828i	96.407176768-0.799846465i	96.376778788-0.747028283i	96.117977778-0.682385859i	95.917910101-0.488171717i
105.061367677-17.798690909i	103.304240404-11.672705051i	99.791987879-9.306019192i	98.121980808-5.105678788i	96.963163636-3.985393939i	96.416404040-3.197437374i	96.254734343-2.599785859i	95.848107071-2.149468687i	95.690645455-1.734447475i	95.385893939-1.376775758i	95.544768687-1.214886869i	95.028600000-0.877291919i	94.981576768-0.729472727i	94.763103030-0.698308081i	94.520913131-0.493920202i
103.730187879-17.611075758i	102.007070707-11.688921212i	98.535711111-9.285946465i	96.841759596-5.125587879i	95.657783838-3.966000000i	95.238649495-3.136640404i	94.985165657-2.591627273i	94.582303030-2.136194949i	94.406823232-1.674912121i	94.172403030-1.427412121i	93.578380808-0.925227273i	93.755442424-0.845440404i	93.707913131-0.664676768i	93.524671717-0.652718182i	93.242527273-0.484894949i
102.533119192-17.878000000i	100.834906061-11.762315152i	97.357655556-9.289708081i	95.639388889-5.136013131i	94.583742424-3.996027273i	94.149976768-3.056320202i	93.868578788-2.573111111i	93.461712121-2.150833333i	93.191635354-1.743443434i	93.034337374-1.426905051i	92.403752525-0.989632323i	92.563388889-0.810712121i	92.648197980-0.680496970i	92.399568687-0.689211111i	92.077856566-0.453411111i
150.748141414-18.937116162i	148.349678788-12.980950505i	144.576402020-10.563390909i	142.087949495-6.188769697i	140.734913131-4.884522222i	139.992488889-3.853594949i	139.692155556-3.199328283i	139.132292929-2.752154545i	138.876711111-2.132294949i	138.589395960-1.765901010i	138.281154545-1.815741414i	137.989513131-1.019259596i	137.943363636-0.902738384i	137.619903030-0.876048485i	137.291273737-0.548889899i
140.208513131-18.369147475i	138.169632323-12.476143434i	134.372840404-10.073436364i	132.219128283-5.767733333i	130.834043434-4.535724242i	130.238268687-3.739386869i	129.942345455-2.908950505i	129.421670707-2.546735354i	129.173091919-2.054458586i	128.976632323-1.633665657i	128.657056566-0.967233333i	128.440693939-1.043070707i	128.365220202-0.825145455i	128.103055556-0.864832323i	127.951009091-0.552040404i
132.699359596-18.181407071i	130.803738384-12.291127273i	127.089861616-9.828864646i	125.105768687-5.668691919i	123.790850505-4.379641414i	123.287175758-3.571393939i	122.964017172-2.818054545i	122.536879798-2.411055556i	122.221100000-1.921601010i	121.977528283-1.568879798i	121.604613131-1.630535354i	121.502384848-0.968863636i	121.446783838-0.795007071i	121.237885859-0.855941414i	120.946624242-0.529620202i
