420.476151515-33.750393939i	412.428166667-24.611115152i	405.882215152-20.493174747i	399.624924242-12.949682828i	396.792383838-10.169483838i	395.108775758-8.493235354i	393.951915152-7.004105051i	392.951696970-6.261704040i	391.964398990-5.140079798i	390.941554545-4.570902020i	390.459901010-4.111083838i	389.474716162-3.154388889i	389.518359596-3.140318182i	388.002127273-3.567413131i	386.416914141-2.479159596i
393.223811111-33.044298990i	385.642995960-23.586879798i	379.448327273-19.674453535i	373.352591919-12.148705051i	370.572472727-9.631354545i	368.897016162-7.882382828i	367.912128283-6.573082828i	366.788615152-5.767035354i	366.470621212-4.920466667i	365.424646465-4.370240404i	364.519131313-4.001030303i	363.937504040-3.092547475i	363.833459596-3.002083838i	362.346724242-3.245222222i	360.878540404-2.084147475i
373.377942424-32.177614141i	365.748417172-23.342355556i	359.722060606-19.107684848i	353.942549495-11.901807071i	351.338584848-9.480185859i	349.653908081-7.844755556i	348.978076768-6.551398990i	347.747300000-5.814038384i	347.156588889-4.769748485i	346.384893939-4.154698990i	345.053118182-3.399159596i	344.866795960-3.025253535i	344.683844444-2.953107071i	343.422317172-3.220249495i	341.764391919-2.470937374i
357.912763636-32.118842424i	350.340163636-22.907163636i	344.695693939-18.907191919i	339.057693939-11.274190909i	336.534083838-9.163498990i	335.377942424-7.442608081i	334.047090909-6.358593939i	333.254135354-5.544259596i	332.579276768-4.579424242i	331.670427273-4.157841414i	330.381327273-3.455271717i	330.299389899-3.030467677i	330.155877778-2.839138384i	328.933105051-3.211464646i	327.263857576-2.181595960i
345.365211111-31.898183838i	338.123870707-22.570372727i	332.295454545-18.573310101i	326.904761616-11.492890909i	324.549340404-9.150748485i	323.120222222-7.313752525i	322.215803030-6.174834343i	320.967900000-5.264328283i	320.455474747-4.618266667i	319.715277778-4.105448485i	318.402672727-3.063736364i	318.229775758-2.775507071i	318.256273737-2.767368687i	317.031369697-3.060039394i	315.366530303-2.310144444i
335.591845455-31.587228283i	328.510271717-22.595411111i	322.854152525-18.356103030i	317.269123232-11.365007071i	314.954741414-8.941765657i	313.631587879-7.300266667i	312.665148485-6.161368687i	311.593032323-5.201048485i	310.880035354-4.704822222i	310.223753535-4.036185859i	309.613784848-2.988519192i	308.877406061-2.626482828i	308.678038384-2.690637374i	307.374868687-3.061502020i	305.596037374-2.278726263i
327.450508081-31.756939394i	320.323383838-22.381486869i	314.735759596-18.366710101i	309.498561616-11.129562626i	307.085580808-9.012928283i	305.552204040-7.394231313i	304.727620202-6.183773737i	303.858700000-5.207257576i	303.022304040-4.469532323i	302.165824242-4.181056566i	301.724779798-3.568281818i	300.963526263-2.668774747i	300.606849495-2.693197980i	299.593316162-3.088282828i	298.363496970-2.087902020i
320.540312121-31.635094949i	313.717258586-22.321354545i	307.953021212-18.311306061i	302.589745455-11.199036364i	300.276673737-8.957971717i	298.900898990-7.471034343i	298.054531313-6.068829293i	297.054997980-5.388194949i	296.390431313-4.547889899i	295.557961616-4.065417172i	294.525928283-2.978393939i	294.259695960-2.746402020i	294.160184848-2.728180808i	293.095931313-2.926206061i	291.372273737-2.041422222i
314.562643434-31.529821212i	307.774270707-22.390879798i	302.031946465-18.312815152i	296.707112121-11.242385859i	294.301184848-8.787742424i	293.127273737-7.402672727i	292.155296970-6.240486869i	291.155696970-5.257776768i	290.441274747-4.585141414i	289.644405051-4.004902020i	289.059977778-3.112475758i	288.352762626-2.596002020i	288.237401010-2.570696970i	287.016585859-2.969274747i	285.511410101-2.145584848i
309.214023232-31.484880808i	302.505212121-22.219704040i	296.797359596-18.214985859i	291.556837374-10.938375758i	289.084084848-8.818434343i	287.826154545-7.157441414i	287.040050505-6.081729293i	285.995466667-5.281117172i	285.311897980-4.757509091i	284.511544444-3.937762626i	283.519152525-3.069078788i	283.251695960-2.750643434i	282.999352525-2.707282828i	282.124031313-2.805700000i	280.523524242-2.084612121i
304.809853535-31.351128283i	297.835535354-22.267385859i	292.269124242-18.187376768i	287.058764646-11.273726263i	284.773548485-8.925011111i	283.347381818-7.468259596i	282.332229293-6.054545455i	281.923588889-5.362277778i	280.995960606-4.547612121i	279.952084848-4.028828283i	279.417980808-2.983182828i	278.753676768-2.744756566i	278.596549495-2.572731313i	277.573984848-2.927018182i	276.025262626-1.987585859i
