204.914103030-22.622977778i	201.450913131-15.500757576i	197.302616162-12.570312121i	194.117792929-7.488474747i	192.489435354-5.937055556i	191.637016162-4.750023232i	191.085240404-3.935415152i	190.449190909-3.339748485i	190.061704040-2.714887879i	189.692302020-2.258180808i	189.275886869-1.907971717i	188.929848485-1.560306061i	188.646248485-1.297712121i	188.336988889-0.992690909i	188.058909091-0.637279798i
193.281863636-22.281530303i	190.050341414-15.157896970i	185.968204040-12.182817172i	183.002422222-7.191891919i	181.435763636-5.677367677i	180.581384848-4.552137374i	180.107963636-3.775297980i	179.511833333-3.227022222i	179.158604040-2.652421212i	178.806963636-2.195221212i	178.436610101-1.806187879i	178.102152525-1.499051515i	177.762944444-1.259036364i	177.483018182-0.951751515i	177.220010101-0.574972727i
184.758122222-22.017958586i	181.611245455-14.914735354i	177.601818182-11.983136364i	174.762855556-7.047179798i	173.263233333-5.532975758i	172.483131313-4.470055556i	171.969830303-3.689550505i	171.393120202-3.132943434i	171.067838384-2.524745455i	170.736017172-2.117698990i	170.261969697-1.748120202i	170.015569697-1.445139394i	169.750397980-1.183571717i	169.468911111-0.905859596i	169.218719192-0.562438384i
178.382840404-21.794473737i	175.395248485-14.733591919i	171.359336364-11.822748485i	168.610171717-6.920910101i	167.105389899-5.457583838i	166.372327273-4.384679798i	165.909326263-3.606930303i	165.328553535-3.042234343i	164.994102020-2.471442424i	164.664816162-2.062190909i	164.254357576-1.654907071i	163.957789899-1.422397980i	163.688311111-1.160189899i	163.374260606-0.887846465i	163.170971717-0.544575758i
172.730209091-21.586665657i	169.789692929-14.611084848i	165.816783838-11.695330303i	163.154389899-6.806639394i	161.669082828-5.386865657i	160.934835354-4.282263636i	160.501830303-3.555963636i	159.910544444-3.037725253i	159.582403030-2.452897980i	159.260649495-2.045139394i	158.885527273-1.635970707i	158.551955556-1.393713131i	158.308055556-1.119375758i	158.045812121-0.871825253i	157.840920202-0.528841414i
168.357071717-21.551333333i	165.483108081-14.543677778i	161.527869697-11.623310101i	158.917700000-6.760627273i	157.415501010-5.324200000i	156.657380808-4.334839394i	156.243933333-3.528935354i	155.708771717-3.011409091i	155.388063636-2.444986869i	155.044580808-2.034142424i	154.664780808-1.643205051i	154.335774747-1.384524242i	154.069072727-1.112301010i	153.828821212-0.869105051i	153.599713131-0.525925253i
164.554450505-21.744321212i	161.633617172-14.558930303i	157.740233333-11.615414141i	155.092560606-6.762773737i	153.660447475-5.290007071i	152.941302020-4.244837374i	152.491636364-3.509284848i	151.943665657-2.956515152i	151.637666667-2.428480808i	151.325753535-2.019466667i	150.900246465-1.638911111i	150.668212121-1.364994949i	150.399060606-1.095910101i	150.125807071-0.807240404i	149.901647475-0.513640404i
161.296997980-21.736068687i	158.380682828-14.567098990i	154.476730303-11.598497980i	151.896755556-6.694679798i	150.485021212-5.228061616i	149.745739394-4.216026263i	149.317694949-3.465195960i	148.773111111-2.926679798i	148.405109091-2.403344444i	148.117398990-1.990731313i	147.715661616-1.637825253i	147.475774747-1.346418182i	147.195957576-1.073596970i	146.952742424-0.846395960i	146.771067677-0.504244444i
158.497858586-21.698586869i	155.557614141-14.507063636i	151.714807071-11.571635354i	149.133579798-6.714923232i	147.693092929-5.253406061i	146.990358586-4.231978788i	146.591578788-3.454511111i	145.978712121-2.921700000i	145.719487879-2.405610101i	145.357840404-1.998725253i	144.951124242-1.639713131i	144.720647475-1.347171717i	144.458341414-1.071452525i	144.221201010-0.821627273i	143.966709091-0.474333333i
155.635981818-22.351239394i	152.598076768-14.706968687i	148.933878788-11.674324242i	146.362034343-6.741347475i	144.959430303-5.228320202i	144.287541414-4.195410101i	143.869558586-3.420457576i	143.332622222-2.882914141i	143.028214141-2.357760606i	142.718578788-1.953686869i	142.331864646-1.598077778i	142.041455556-1.336377778i	141.811547475-1.052882828i	141.557884848-0.784695960i	141.357442424-0.531616162i
153.482875758-21.504215152i	150.675042424-14.420221212i	146.804905051-11.488963636i	144.279045455-6.643851515i	142.838678788-5.198825253i	142.122420202-4.191951515i	141.706123232-3.442659596i	141.168860606-2.877320202i	140.849330303-2.407766667i	140.538694949-2.013871717i	140.162726263-1.586551515i	139.848040404-1.346073737i	139.616056566-1.077765657i	139.351569697-0.823154545i	139.166106061-0.508921212i
151.521851515-21.513458586i	148.709112121-14.379155556i	144.802705051-11.460461616i	142.311367677-6.612938384i	140.903378788-5.177117172i	140.198119192-4.180590909i	139.777202020-3.434106061i	139.209109091-2.919227273i	138.901748485-2.378292929i	138.583331313-2.016214141i	138.191727273-1.683444444i	137.899728283-1.308229293i	137.645706061-1.052439394i	137.436808081-0.777519192i	137.217507071-0.472327273i
149.702511111-21.586933333i	146.867985859-14.357948485i	143.045895960-11.474826263i	140.507132323-6.618984848i	139.092639394-5.221757576i	138.340417172-4.174302020i	137.947383838-3.380830303i	137.391666667-2.918147475i	137.105201010-2.391332323i	136.775896970-1.974724242i	136.365412121-1.638625253i	136.113447475-1.365679798i	135.870817172-1.062112121i	135.588077778-0.814125253i	135.442046465-0.496581818i
147.961571717-21.436795960i	145.152765657-14.296712121i	141.282935354-11.460769697i	138.778405051-6.593763636i	137.314181818-5.164638384i	136.649936364-4.171731313i	136.283616162-3.430495960i	135.689000000-2.958261616i	135.379416162-2.424424242i	135.071966667-1.963689899i	134.683712121-1.609535354i	134.374088889-1.339272727i	134.152452525-1.056074747i	133.900239394-0.815583838i	133.702873737-0.487701010i
