229.635904040-21.619587879i	225.247897980-15.528192929i	221.137243434-12.792438384i	217.249902020-8.007259596i	215.533413131-6.349301010i	214.430036364-5.172526263i	213.797491919-4.265140404i	213.135713131-3.649209091i	212.728944444-2.966237374i	212.292447475-2.485897980i	211.847521212-2.022266667i	211.508996970-1.682627273i	211.151772727-1.474159596i	210.796318182-1.123163636i	210.471551515-0.697739394i
210.458432323-21.068430303i	206.361536364-14.920342424i	202.515836364-12.102447475i	199.052379798-7.444002020i	197.438792929-5.900297980i	196.512720202-4.789077778i	195.960549495-3.972308081i	195.279797980-3.316678788i	194.939488889-2.715743434i	194.545479798-2.270652525i	194.155942424-1.853211111i	193.842205051-1.588418182i	193.495193939-1.348062626i	193.171295960-1.053212121i	192.879797980-0.666948485i
197.576005051-20.913131313i	193.688130303-14.618550505i	189.928373737-11.840604040i	186.670102020-7.163250505i	185.145667677-5.658106061i	184.247510101-4.546863636i	183.747401010-3.760092929i	183.133700000-3.193926263i	182.767122222-2.598860606i	182.450592929-2.176659596i	182.027250505-1.797839394i	181.725860606-1.515701010i	181.411255556-1.243824242i	181.095440404-0.957268687i	180.854639394-0.606169697i
187.918704040-20.736584848i	184.151507071-14.414776768i	180.393233333-11.621534343i	177.343604040-6.979997980i	175.814256566-5.504123232i	174.987288889-4.426156566i	174.470592929-3.655458586i	173.909442424-3.082923232i	173.569780808-2.541402020i	173.188801010-2.116976768i	172.839413131-1.766735354i	172.535607071-1.471552525i	172.212167677-1.227876768i	171.955692929-0.934441414i	171.683354545-0.584044444i
181.153640404-20.576331313i	177.507898990-14.220260606i	173.748251515-11.494289899i	170.748796970-6.907687879i	169.297952525-5.441082828i	168.452516162-4.343056566i	167.953415152-3.622058586i	167.416351515-3.072460606i	167.057708081-2.531743434i	166.708407071-2.130149495i	166.296984848-1.714017172i	166.033795960-1.433101010i	165.797195960-1.195960606i	165.443308081-0.913246465i	165.168271717-0.544677778i
175.157335354-20.543377778i	171.527376768-14.169136364i	167.864111111-11.405723232i	164.939821212-6.848949495i	163.467877778-5.343917172i	162.702425253-4.278100000i	162.195759596-3.557540404i	161.645730303-3.027277778i	161.287429293-2.485828283i	160.970338384-2.081471717i	160.542065657-1.658579798i	160.268975758-1.402985859i	159.981168687-1.178289899i	159.708626263-0.855709091i	159.504934343-0.558555556i
170.617454545-20.476629293i	166.991758586-14.073458586i	163.340964646-11.317591919i	160.460979798-6.752974747i	159.048133333-5.334697980i	158.214246465-4.264162626i	157.780431313-3.557161616i	157.181349495-2.977078788i	156.855049495-2.456645455i	156.531501010-2.045961616i	156.094292929-1.647838384i	155.863313131-1.405363636i	155.574008081-1.122346465i	155.304943434-0.873154545i	155.044151515-0.527108081i
166.842907071-20.253372727i	163.368742424-13.969373737i	159.660328283-11.243321212i	156.835527273-6.726835354i	155.349601010-5.295563636i	154.579029293-4.250922222i	154.106483838-3.476439394i	153.542668687-2.997896970i	153.218900000-2.508972727i	152.878883838-2.075006061i	152.503659596-1.736563636i	152.162496970-1.399489899i	151.898706061-1.147581818i	151.623354545-0.899671717i	151.383039394-0.528055556i
163.361098990-20.371207071i	159.750962626-14.011407071i	156.178551515-11.284669697i	153.283248485-6.678104040i	151.855032323-5.251938384i	151.078116162-4.204930303i	150.607646465-3.471039394i	150.074340404-2.953951515i	149.704641414-2.470241414i	149.381441414-2.064724242i	148.979355556-1.714246465i	148.691547475-1.372796970i	148.433967677-1.152388889i	148.207376768-0.872177778i	147.974485859-0.494972727i
160.461207071-20.395202020i	156.947308081-13.983110101i	153.287517172-11.198557576i	150.469802020-6.666967677i	149.038078788-5.242686869i	148.227754545-4.226692929i	147.820366667-3.458009091i	147.261811111-2.985387879i	146.912675758-2.449490909i	146.592517172-2.032784848i	146.193195960-1.722948485i	145.881092929-1.395631313i	145.640696970-1.141068687i	145.357435354-0.875684848i	145.147147475-0.547145455i
157.891086869-20.364897980i	154.379382828-14.002574747i	150.740259596-11.191800000i	147.942693939-6.664124242i	146.549512121-5.224263636i	145.725443434-4.204091919i	145.333826263-3.480123232i	144.809942424-2.965871717i	144.427291919-2.444026263i	144.095753535-2.037906061i	143.686117172-1.715781818i	143.432873737-1.410804040i	143.167814141-1.116137374i	142.900411111-0.905971717i	142.665107071-0.545444444i
