398.073408081-32.609995960i	389.341498990-23.436102020i	383.751569697-19.312561616i	377.283836364-11.797145455i	374.958728283-9.756677778i	373.374915152-7.764393939i	372.296877778-6.622680808i	371.379781818-5.730116162i	370.325342424-5.116384848i	369.647918182-4.387142424i	369.174738384-3.572833333i	368.159000000-2.990223232i	368.216588889-3.205617172i	366.462452525-3.595919192i	365.100510101-2.471668687i
375.475082828-31.999420202i	367.410114141-23.055628283i	362.043428283-18.868819192i	355.741283838-11.699232323i	353.310832323-9.217818182i	351.812340404-7.564619192i	350.699455556-6.446962626i	350.104331313-5.645201010i	349.045126263-4.746077778i	348.374490909-4.403722222i	347.508434343-3.426745455i	346.902122222-3.003509091i	346.811001010-3.006361616i	345.346962626-3.382353535i	343.704493939-2.650061616i
358.639526263-31.637376768i	350.663424242-22.568796970i	345.301733333-18.473168687i	339.420827273-11.657165657i	337.013702020-9.201146465i	335.571587879-7.374463636i	334.497873737-6.472511111i	333.436341414-5.455892929i	332.959361616-4.768087879i	332.146533333-4.172380808i	331.250660606-3.684557576i	330.622934343-2.864047475i	330.512906061-3.006303030i	329.222189899-3.445819192i	327.517959596-2.354756566i
345.420022222-31.300221212i	337.917600000-22.335976768i	332.396064646-18.369896970i	326.544013131-11.448416162i	324.362820202-8.950423232i	322.889738384-7.436818182i	321.951718182-6.435113131i	321.172225253-5.602082828i	320.093820202-4.610813131i	319.320325253-4.133212121i	318.550994949-3.568342424i	317.984169697-3.007628283i	317.932579798-2.851965657i	316.619520202-3.192084848i	314.899534343-2.475994949i
335.540487879-31.338470707i	327.586178788-22.268280808i	322.417035354-18.335270707i	316.627788889-11.289527273i	314.364929293-8.996773737i	312.963133333-7.040040404i	311.929320202-6.162426263i	311.127908081-5.218768687i	310.281534343-4.522371717i	309.557424242-4.070235354i	308.589809091-3.510121212i	308.060845455-2.695181818i	308.154551515-2.699874747i	306.672986869-3.241148485i	304.979467677-2.269486869i
326.788898990-30.881053535i	319.189979798-21.968448485i	313.885669697-18.291090909i	308.251376768-11.278852525i	305.942908081-8.825372727i	304.472411111-7.173538384i	303.647189899-6.335320202i	302.717389899-5.227517172i	301.948370707-4.612349495i	301.174967677-3.924101010i	300.257249495-3.481238384i	299.752842424-2.774538384i	299.764078788-2.629323232i	298.416973737-3.231526263i	296.701625253-2.272308081i
319.693104040-31.159305051i	312.045415152-21.965603030i	306.780121212-17.914528283i	301.021374747-11.165935354i	298.908594949-8.854666667i	297.365963636-7.350142424i	296.530294949-6.327911111i	295.738653535-5.270337374i	294.959468687-4.773595960i	294.141151515-4.008309091i	293.505088889-3.543855556i	292.686648485-2.899354545i	292.730588889-2.866091919i	291.298947475-3.141267677i	289.644131313-2.141958586i
313.538012121-31.291365657i	306.141426263-22.176256566i	300.683844444-17.976445455i	295.274507071-11.184044444i	293.080822222-8.945154545i	291.274582828-7.267490909i	290.592080808-6.254928283i	289.638474747-5.462180808i	289.007951515-4.757464646i	288.061736364-4.082430303i	287.161239394-3.083266667i	286.604879798-2.674788889i	286.712796970-2.893653535i	285.477672727-3.238143434i	283.688140404-2.373111111i
308.333231313-30.833738384i	300.844386869-22.134622222i	295.394773737-18.034700000i	289.914258586-11.186964646i	287.524748485-8.699677778i	286.166723232-7.379907071i	285.182940404-6.004886869i	284.346755556-5.403983838i	283.541516162-4.599739394i	282.752450505-4.087548485i	281.626243434-3.330631313i	281.357350505-2.988559596i	281.424437374-2.748230303i	280.053506061-3.248781818i	278.385270707-2.123836364i
303.378867677-30.802952525i	296.174628283-21.664673737i	290.530096970-17.939346465i	285.153231313-11.034982828i	283.003516162-8.975054545i	281.281360606-7.012076768i	280.511570707-6.103923232i	279.489661616-5.228689899i	279.000241414-4.682947475i	278.016206061-4.057369697i	277.452443434-3.333883838i	276.732041414-2.765392929i	276.691035354-2.839557576i	275.420083838-2.927105051i	273.811388889-2.376601010i
299.060140404-30.663928283i	291.590332323-22.106243434i	286.083757576-17.909020202i	280.724414141-11.164718182i	278.459668687-8.878664646i	277.256970707-7.221727273i	276.309165657-6.181411111i	275.383269697-5.400439394i	274.537326263-4.574710101i	273.605443434-4.013444444i	273.083223232-3.234814141i	272.262854545-2.668570707i	272.361685859-2.845290909i	271.030363636-3.190889899i	269.580752525-2.303869697i
295.356971717-30.527546465i	287.987514141-22.017097980i	282.452648485-17.973341414i	276.914963636-11.221216162i	274.755705051-8.921020202i	273.172798990-7.256449495i	272.454767677-6.102655556i	271.600352525-5.427994949i	270.951996970-4.489549495i	269.876828283-3.918016162i	269.129152525-3.067548485i	268.715182828-2.768596970i	268.468708081-2.629506061i	267.224383838-3.096323232i	265.498192929-2.112603030i
291.896462626-31.017774747i	284.226832323-21.738258586i	278.872110101-17.907732323i	273.312020202-11.213078788i	271.212401010-8.948243434i	269.707162626-7.371794949i	268.816869697-6.188556566i	267.984357576-5.345011111i	267.154196970-4.672271717i	266.492474747-4.068558586i	265.229715152-3.239724242i	265.052367677-2.768514141i	265.008435354-2.786919192i	263.542513131-3.143773737i	261.941825253-2.057166667i
288.605292929-30.958091919i	281.385666667-21.820286869i	276.067058586-17.905267677i	270.673833333-11.298164646i	268.261316162-8.807202020i	266.767545455-7.198446465i	266.042653535-5.992890909i	265.043497980-5.313292929i	264.490112121-4.624979798i	263.521291919-3.999915152i	262.489961616-3.218430303i	262.003644444-2.765037374i	262.069295960-2.651994949i	260.722049495-2.987280808i	259.408321212-2.058533333i
421.895697980-33.222859596i	413.163391919-23.900153535i	407.350259596-20.247253535i	400.692508081-12.697345455i	398.075979798-9.993542424i	396.381370707-8.300438384i	394.964455556-7.049195960i	393.897727273-6.180729293i	393.488143434-5.141769697i	392.544422222-4.546773737i	391.898883838-4.106853535i	390.922247475-3.374406061i	390.887234343-3.416374747i	389.269041414-3.655601010i	387.231795960-2.488172727i
394.251592929-32.251585859i	385.461481818-23.391550505i	379.756422222-19.265066667i	373.457227273-12.091189899i	371.255088889-9.619776768i	369.416325253-7.824098990i	368.624820202-6.573046465i	367.434835354-5.892315152i	366.623829293-4.821641414i	365.950918182-4.129609091i	364.963894949-3.525905051i	364.450050505-3.079823232i	364.292379798-3.112980808i	362.869641414-3.518236364i	360.845982828-2.526909091i
372.141295960-31.783983838i	363.844547475-22.917755556i	358.425336364-18.904856566i	352.005602020-11.994473737i	350.062162626-9.291564646i	348.456547475-7.618431313i	347.393394949-6.363283838i	346.469221212-5.524651515i	345.723823232-4.766222222i	344.920068687-4.063670707i	344.227114141-3.535283838i	343.446779798-3.107654545i	343.432689899-2.772136364i	341.921459596-3.486279798i	340.037119192-2.656902020i
355.641088889-31.761078788i	347.811819192-22.708981818i	342.300071717-18.326528283i	336.695749495-11.685289899i	334.139729293-9.098964646i	332.677264646-7.578611111i	331.798372727-6.438126263i	330.484296970-5.312490909i	330.204892929-4.546396970i	329.284080808-3.967073737i	328.440024242-3.608709091i	327.874626263-2.820469697i	327.694835354-3.015210101i	326.428586869-3.329964646i	324.710833333-2.098991919i
