157.385284848-18.371895960i	154.667704040-12.763334343i	151.067877778-10.313498990i	148.408338384-6.121807071i	147.082342424-4.783805051i	146.377154545-3.856719192i	145.990914141-3.155068687i	145.472539394-2.708961616i	145.280422222-2.192546465i	144.917197980-1.716049495i	144.610872727-1.264768687i	144.441844444-1.097216162i	144.409535354-1.011381818i	143.969478788-1.026491919i	143.582959596-0.729769697i
144.772941414-18.158575758i	142.264719192-12.329800000i	138.818256566-9.954141414i	136.487208081-5.763877778i	135.325557576-4.533700000i	134.653465657-3.594464646i	134.347736364-2.919621212i	133.847542424-2.429761616i	133.719513131-1.949484848i	133.481622222-1.543892929i	133.013898990-1.466698990i	132.929230303-0.993367677i	132.980223232-0.831791919i	132.589809091-0.887398990i	132.199508081-0.644497980i
135.817849495-17.850516162i	133.405537374-12.073371717i	130.007016162-9.613749495i	127.908615152-5.527157576i	126.736102020-4.260774747i	126.104669697-3.420911111i	125.923380808-2.718822222i	125.431658586-2.287343434i	125.181319192-1.887072727i	124.990875758-1.587795960i	124.578312121-1.327267677i	124.467232323-0.938428283i	124.513288889-0.729511111i	124.194319192-0.876823232i	123.876455556-0.610819192i
129.654931313-17.773871717i	127.382726263-11.951651515i	123.970002020-9.570033333i	121.913944444-5.349196970i	120.788185859-4.133438384i	120.130583838-3.268754545i	119.928597980-2.646247475i	119.543714141-2.264229293i	119.383461616-1.836049495i	119.125307071-1.454629293i	118.707829293-1.139800000i	118.654797980-0.908417172i	118.720097980-0.740635354i	118.352013131-0.828082828i	118.036580808-0.606828283i
124.652482828-17.701691919i	122.500824242-11.807224242i	119.191748485-9.358493939i	117.216754545-5.294898990i	116.079200000-4.149304040i	115.574748485-3.134758586i	115.286735354-2.629992929i	114.888774747-2.142830303i	114.630553535-1.661109091i	114.477773737-1.478771717i	114.211794949-1.089451515i	114.015264646-0.892990909i	114.013715152-0.818687879i	113.682593939-0.803473737i	113.303158586-0.543363636i
120.763130303-17.660169697i	118.635357576-11.804535354i	115.359839394-9.370014141i	113.430176768-5.266630303i	112.314045455-4.043790909i	111.824602020-3.147600000i	111.538396970-2.657371717i	111.155110101-2.143003030i	110.966132323-1.812697980i	110.726839394-1.417876768i	110.403900000-1.222081818i	110.308107071-0.913836364i	110.334873737-0.764590909i	110.006081818-0.786018182i	109.585868687-0.541090909i
117.640653535-17.729373737i	115.491411111-11.830092929i	112.162327273-9.267908081i	110.400716162-5.236546465i	109.231673737-4.026997980i	108.593737374-3.181015152i	108.465979798-2.557169697i	108.064314141-2.121230303i	107.869364646-1.676335354i	107.642851515-1.426026263i	107.474684848-1.151586869i	107.243629293-0.825158586i	107.223974747-0.741506061i	106.943784848-0.778658586i	106.596640404-0.710393939i
115.127107071-16.884993939i	113.134878788-11.469236364i	109.679035354-9.152022222i	107.855045455-5.177954545i	106.687575758-3.982681818i	106.237345455-3.193357576i	105.932325253-2.551122222i	105.507137374-2.071879798i	105.369018182-1.709447475i	105.134554545-1.488345455i	104.993442424-1.123786869i	104.647821212-0.832848485i	104.727556566-0.736944444i	104.444801010-0.819503030i	104.191562626-0.635528283i
112.675806061-17.548918182i	110.698060606-11.589066667i	107.363606061-9.209943434i	105.588224242-5.131000000i	104.492995960-3.984776768i	103.941697980-3.068944444i	103.712857576-2.567224242i	103.278669697-2.081962626i	103.052755556-1.658041414i	102.872629293-1.425598990i	102.765623232-0.979274747i	102.407578788-0.846992929i	102.508118182-0.673572727i	102.148932323-0.810820202i	101.843147475-0.541851515i
110.646817172-17.818751515i	108.670132323-11.623225253i	105.519703030-9.265916162i	103.648463636-5.189733333i	102.554008081-3.921402020i	102.158216162-3.117012121i	101.838106061-2.549019192i	101.411490909-2.125321212i	101.208750505-1.784191919i	101.091576768-1.358481818i	100.965065657-1.147855556i	100.703810101-0.869882828i	100.598029293-0.677575758i	100.370640404-0.804500000i	100.028463636-0.674345455i
109.040098990-17.641757576i	106.872287879-11.762444444i	103.700342424-9.238216162i	101.880259596-5.226454545i	100.821638384-4.016185859i	100.279890909-3.126857576i	100.104096970-2.559413131i	99.632341414-2.112230303i	99.543439394-1.787335354i	99.217838384-1.430993939i	99.178192929-0.965512121i	98.787738384-0.860410101i	98.798415152-0.705310101i	98.635549495-0.746290909i	98.343210101-0.623066667i
